Estación;cp;Año;Mes;Dia;Provincia;Temperatura máxima (ºC);Temperatura mínima (ºC);Temperatura media (ºC);Racha (km/h);Velocidad máxima (km/h);Precipitación 00-24h (mm);Precipitación 00-06h (mm);Precipitación 06-12h (mm);Precipitación 12-18h (mm);Precipitación 18-24h (mm)
Puerto de Navacerrada;28048-28047-28023;2017;7;1;Madrid;13.5 (16:40);0.5 (06:30);7;39 (23:00);24 (23:00);0;0;0;0;0
Aranjuez;28025-28041-28054;2017;7;1;Madrid;26.3 (18:00);13.4 (07:00);19.8;35 (10:30);15 (10:30);0;0;0;0;0
Rascafría;28034-28035-28040;2017;7;1;Madrid;19.9 (19:10);4.5 (07:10);12.2;24 (09:00);10 (18:00);0;0;0;0;0
Buitrago del Lozoya;28003-28045-28044;2017;7;1;Madrid;19.4 (19:00);6.4 (06:30);12.9;36 (00:20);18 (00:10);0;0;0;0;0
Somosierra;28020-28021-28024;2017;7;1;Madrid;16.3 (18:40);3.5 (05:10);9.9;38 (09:10);15 (09:20);0;0;0;0;0
Madrid. El Goloso;28029-28036-28046;2017;7;1;Madrid;22.6 (18:40);9.8 (07:20);16.2;32 (10:10);14 (09:40);0;0;0;0;0
Madrid Aeropuerto;28055-28050-28033;2017;7;1;Madrid;24.9 (18:30);11.8 (07:20);18.3;41 (01:30);26 (01:20);0;0;0;0;0
Alcala de Henares;28022-28027-28037;2017;7;1;Madrid;26.1 (19:00);13.0 (07:10);19.6;35 (15:10);21 (03:30);0;0;0;0;0
Arganda del Rey;28051-28031-28052;2017;7;1;Madrid;20.7 (17:10);8.2 (07:00);14.5;39 (00:40);20 (17:50);0;0;0;0;0
Colmenar Viejo;28039-28038-28032;2017;7;1;Madrid;24.7 (18:00);11.8 (07:10);18.3;34 (02:20);18 (02:20);0;0;0;0;0
Madrid. Ciudad Universitaria;28011-28013-28005;2017;7;1;Madrid;25.2 (18:00);9.9 (07:40);17.6;0;0;0;0;0;0;0
Pozuelo de Alarcón;28030-28028-28026;2017;7;1;Madrid;25.2 (16:50);12.7 (07:40);19;38 (05:00);18 (03:00);0;0;0;0;0
Madrid. Retiro;28001-28004-28009;2017;7;1;Madrid;24.8 (16:40);13.1 (07:20);18.9;0;0;0;0;0;0;0
Tielmes;28002-28003-28043;2017;7;1;Madrid;17.2 (17:30);2.0 (07:50);9.6;52 (02:00);34 (05:10);0;0;0;0;0
Puerto Alto del León;28049-28054-28053;2017;7;1;Madrid;23.2 (16:30);9.2 (07:10);16.2;38 (00:10);20 (05:10);0;0;0;0;0
Alpedrete;28019-28014-28012;2017;7;1;Madrid;25.0 (16:00);9.7 (07:40);17.3;35 (00:10);15 (00:10);0;0;0;0;0
Torrelodones;28018-28010-28008;2017;7;1;Madrid;22.8 (17:30);9.8 (06:40);16.3;0;0;0;0;0;0;0
Rozas de Puerto Real;28017-28007;2017;7;1;Madrid;24.1 (16:40);10.6 (07:00);17.4;67 (02:20);26 (03:00);0;0;0;0;0
Robledo de Chavela;28016-28006;2017;7;1;Madrid;23.6 (17:40);10.8 (06:30);17.2;45 (02:30);27 (02:10);0;0;0;0;0
Valdemorillo;28015;2017;7;1;Madrid;23.6 (17:40);10.8 (06:30);17.2;45 (02:30);27 (02:10);0;0;0;0;0
Puerto de Navacerrada;28048-28047-28023;2017;7;2;Madrid;21.4 (18:10);6.5 (07:00);13.9;45 (07:00);30 (06:50);0;0;0;0;0
Aranjuez;28025-28041-28054;2017;7;2;Madrid;33.2 (17:30);11.3 (05:10);22.3;44 (13:20);14 (01:40);0;0;0;0;0
Rascafría;28034-28035-28040;2017;7;2;Madrid;27.7 (18:30);6.1 (01:10);16.9;23 (06:30);9 (19:00);0;0;0;0;0
Buitrago del Lozoya;28003-28045-28044;2017;7;2;Madrid;27.8 (19:00);7.4 (06:50);17.6;35 (09:40);15 (18:10);0;0;0;0;0
Somosierra;28020-28021-28024;2017;7;2;Madrid;24.3 (18:30);6.5 (05:10);15.4;31 (09:50);11 (07:10);0;0;0;0;0
